#,Country,Population(2025),Land Area(Km²),Density(P/Km²)
151,Sao Tome and Principe ," 240,254 ",960 ,250
90,Kiribati ," 136,488 ",810 ,169
13,Bahrain ," 1,643,332 ",760 ,2162
49,Dominica ," 65,871 ",750 ,88
177,Tonga ," 103,742 ",720 ,144
157,Singapore ," 5,870,750 ",700 ,8387
112,Micronesia ," 113,683 ",700 ,162
147,Saint Lucia ," 180,149 ",610 ,295
150,San Marino ," 33,572 ",60 ,560
4,Andorra ," 82,904 ",470 ,176
155,Seychelles ," 132,779 ",460 ,289
133,Palau ," 17,663 ",460 ,38
6,Antigua and Barbuda ," 94,209 ",440 ,214
15,Barbados ," 282,623 ",430 ,657
148,Saint Vincent and the Grenadines ," 99,924 ",390 ,256
68,Grenada ," 117,303 ",340 ,345
107,Malta ," 545,405 ",320 ,1704
105,Maldives ," 529,676 ",300 ,1766
182,Tuvalu ," 9,492 ",30 ,316
146,Saint Kitts and Nevis ," 46,922 ",260 ,180
121,Nauru ," 12,025 ",20 ,601
108,Marshall Islands ," 36,282 ",180 ,202
99,Liechtenstein ," 40,128 ",160 ,251
114,Monaco ," 38,341 ",1 ,25732
74,Holy See ,501 ,0 ,1253
52,Egypt ," 118,365,995 "," 995,450 ",119
163,South Korea ," 51,667,029 "," 97,230 ",531
97,Liberia ," 5,731,206 "," 96,320 ",60
103,Malawi ," 22,216,120 "," 94,280 ",236
127,Nigeria ," 237,527,782 "," 910,770 ",261
141,Portugal ," 10,411,834 "," 91,590 ",114
76,Hungary ," 9,632,287 "," 90,530 ",106
36,China ," 1,416,096,094 "," 9,388,211 ",151
44,Cyprus ," 1,370,754 "," 9,240 ",148
187,United States of America ," 347,275,807 "," 9,147,420 ",38
32,Canada ," 40,126,723 "," 9,093,510 ",4
173,Tanzania ," 70,545,865 "," 885,800 ",80
191,Venezuela ," 28,516,896 "," 882,050 ",32
87,Jordan ," 11,520,684 "," 88,780 ",130
154,Serbia ," 6,689,039 "," 87,460 ",76
185,United Arab Emirates ," 11,346,000 "," 83,600 ",136
120,Namibia ," 3,092,816 "," 823,290 ",4
11,Azerbaijan ," 10,397,713 "," 82,658 ",126
10,Austria ," 9,113,574 "," 82,409 ",111
24,Brazil ," 212,812,405 "," 8,358,140 ",25
118,Mozambique ," 35,631,653 "," 786,380 ",45
132,Pakistan ," 255,219,554 "," 770,880 ",331
45,Czechia (Czech Republic) ," 10,609,239 "," 77,240 ",137
180,Turkey ," 87,685,426 "," 769,630 ",114
35,Chile ," 19,859,921 "," 743,532 ",27
194,Zambia ," 21,913,874 "," 743,390 ",29
135,Panama ," 4,571,189 "," 74,340 ",61
156,Sierra Leone ," 8,819,794 "," 72,180 ",122
9,Australia ," 26,974,026 "," 7,682,300 ",4
64,Georgia ," 3,806,671 "," 69,490 ",55
82,Ireland ," 5,308,039 "," 68,890 ",77
119,Myanmar (formerly Burma) ," 54,850,648 "," 653,290 ",84
1,Afghanistan ," 43,844,111 "," 652,860 ",67
161,Somalia ," 19,654,739 "," 627,340 ",31
33,Central African Republic ," 5,513,282 "," 622,980 ",9
166,Sri Lanka ," 23,229,470 "," 62,710 ",370
100,Lithuania ," 2,830,144 "," 62,674 ",45
94,Latvia ," 1,853,559 "," 62,200 ",30
164,South Sudan ," 12,188,788 "," 610,952 ",20
134,Palestine State ," 5,589,623 "," 6,020 ",929
102,Madagascar ," 32,740,678 "," 581,795 ",56
184,Ukraine ," 38,980,376 "," 579,320 ",67
89,Kenya ," 57,532,493 "," 569,140 ",101
23,Botswana ," 2,562,122 "," 566,730 ",5
42,Croatia ," 3,848,160 "," 55,960 ",69
61,France ," 66,650,804 "," 547,557 ",122
176,Togo ," 9,721,608 "," 54,390 ",179
193,Yemen ," 41,773,878 "," 527,970 ",79
174,Thailand ," 71,619,863 "," 510,890 ",140
40,Costa Rica ," 5,152,950 "," 51,060 ",101
22,Bosnia and Herzegovina ," 3,140,095 "," 51,000 ",62
25,Brunei  ," 466,330 "," 5,270 ",88
178,Trinidad and Tobago ," 1,511,155 "," 5,130 ",295
165,Spain ," 47,889,958 "," 498,800 ",96
50,Dominican Republic ," 11,520,487 "," 48,320 ",238
158,Slovakia ," 5,474,881 "," 48,088 ",114
31,Cameroon ," 29,879,337 "," 472,710 ",63
181,Turkmenistan ," 7,618,847 "," 469,930 ",16
136,Papua New Guinea ," 10,762,817 "," 452,860 ",24
